Name,Category,Latitude,Longitude,Price,Rating,Zipcode,Total,Median income (dollars),Mean income (dollars)
Da Andrea,Italian,40.736218,-73.99597,$$,4.5,10011,"28,775","136,208","210,553"
LoveMama,Thai,40.73040872251208,-73.98612673033213,$$,4.5,10003,"25,158","129,981","211,756"
Olio e Più,Pizza,40.733798036104304,-73.99977392649927,$$,4.5,10014,"17,139","136,154","217,624"
Joe's Shanghai,Shanghainese,40.7156608,-73.9967012,$$,4.0,10013,"12,294","130,675","294,915"
Time Out Market New York,Food Court,40.70342863348067,-73.99214637055226,$$,4.0,11201,"29,262","139,697","198,854"
The Cabin NYC,American (New),40.72393,-73.98383,$$,4.0,10009,"29,356","68,220","108,017"
Jack's Wife Freda,Breakfast & Brunch,40.7221323,-73.9975402,$$,4.0,10012,"12,574","110,490","180,973"
Antidote,Cocktail Bars,40.714253413118925,-73.96544806659222,$$,5.0,11249,,,
Thursday Kitchen,Korean,40.72761,-73.98373,$$,4.5,10009,"29,356","68,220","108,017"
Ye's Apothecary,Szechuan,40.71945,-73.9898,,4.5,0,,,
Juliana's,Pizza,40.70274718768062,-73.99343490196397,$$,4.5,11201,"29,262","139,697","198,854"
Raku,Japanese,40.7264988089246,-73.9866526052356,$$,4.5,10003,"25,158","129,981","211,756"
The Osprey,American (New),40.702241,-73.995539,$$,4.0,11201,"29,262","139,697","198,854"
Raku,Japanese,40.72728,-74.00252,$$,4.5,10012,"12,574","110,490","180,973"
Kong Sihk Tong 港食堂,Chinese,40.71543371474216,-73.9981186386701,$,4.0,10013,"12,294","130,675","294,915"
Cecconi's Dumbo,Italian,40.7033063330116,-73.9916549604523,$$$,3.5,11201,"29,262","139,697","198,854"
Celestine,Mediterranean,40.704676,-73.987975,$$$,4.0,11201,"29,262","139,697","198,854"
Zaab Zaab,Thai,40.71387597679311,-73.960393,,5.0,0,,,
Tin Building by Jean-Georges,Grocery,40.70620006254629,-74.00226642004867,,4.5,0,,,
Boqueria Soho,Spanish,40.7249227818105,-74.00215536627918,$$,4.0,10012,"12,574","110,490","180,973"
Rubirosa,Italian,40.722766,-73.996233,$$,4.5,10012,"12,574","110,490","180,973"
Benemon,Japanese,40.72551,-73.98838,$$,4.5,10003,"25,158","129,981","211,756"
RH Rooftop Restaurant New York,American (Traditional),40.73985,-74.00639,$$$,4.0,10014,"17,139","136,154","217,624"
Crab House All You Can Eat Seafood,Buffets,40.759664,-73.969776,$$$$,4.5,10022,,,
YUBU,Korean,40.72702,-73.98608,$$,4.5,10003,"25,158","129,981","211,756"
Farida Central Asian Cuisine & Grill - Downtown,Uzbek,40.70712,-74.00845,,4.5,0,,,
Soothr,Thai,40.732259,-73.987363,$$,4.5,10003,"25,158","129,981","211,756"
AlMar,Italian,40.702662,-73.989177,$$,4.0,11201,"29,262","139,697","198,854"
Carne Mare,Steakhouses,40.70568649199326,-74.00218961453646,,4.5,0,,,
Malibu Farm New York,American (New),40.705644,-74.00188,$$,4.0,10038,"10,800","95,640","155,311"
Coco Bistro,French,40.70757,-74.00184,$$,4.5,10038,"10,800","95,640","155,311"
Tasty Hand-Pulled Noodles,Chinese,40.7142,-73.99787,$$,4.0,10013,"12,294","130,675","294,915"
Momofuku Ssam Bar,Asian Fusion,40.705476024827576,-74.0016428,$$$,4.0,10038,"10,800","95,640","155,311"
Kuun,Korean,40.6884292,-73.9831506,,4.5,0,,,
Very Fresh Noodles,Taiwanese,40.74207,-74.00565,$$,4.5,10011,"28,775","136,208","210,553"
The Migrant Kitchen - Brooklyn,Middle Eastern,40.70343127955398,-73.99161055480388,,4.5,0,,,
JeJu Noodle Bar,Korean,40.73304,-74.00734,$$,4.5,10014,"17,139","136,154","217,624"
Em Vietnamese Bistro,Vietnamese,40.702670064808366,-73.99118578021728,$$,4.5,11201,"29,262","139,697","198,854"
FERNS,Bars,40.72881,-73.98403,$$,4.5,10009,"29,356","68,220","108,017"
Fishmarket Restaurant,Seafood,40.70717,-74.00192,$$,4.5,10038,"10,800","95,640","155,311"
Upstate Craft Beer & Oyster Bar,Seafood,40.726373,-73.986557,$$,4.5,10003,"25,158","129,981","211,756"
Ingas Bar,American (New),40.69992328722937,-73.99371282578757,,4.5,0,,,
High Lúa Vietnamese Kitchen,Vietnamese,40.71258,-73.96045,$$,4.5,11211,"40,821","90,871","128,607"
Amélie,French,40.7327,-73.99766,$$$,4.5,10011,"28,775","136,208","210,553"
Wah Fung No 1,Fast Food,40.71735,-73.99457,$,4.5,10002,"33,790","35,607","70,204"
Fish Cheeks,Seafood,40.7258,-73.9927,$$,4.5,10012,"12,574","110,490","180,973"
Aurora,Italian,40.715621,-73.964757,$$,4.0,11249,,,
Wayla,Thai,40.7183,-73.9926038,$$$,4.5,10002,"33,790","35,607","70,204"
Atti,Korean,40.68841151989921,-73.98289919999999,,4.5,0,,,
5ive Spice,Vietnamese,40.722598,-73.996272,$$,4.5,10012,"12,574","110,490","180,973"
8282,Korean,40.72161,-73.98875,,4.5,0,,,
Cobble Fish,Seafood,40.70530194592761,-74.00257774322735,,4.0,0,,,
Little Kirin,Comfort Food,40.72782,-73.98551,$$,5.0,10003,"25,158","129,981","211,756"
MONO+MONO,Korean,40.72549,-73.98803,$$,4.0,10003,"25,158","129,981","211,756"
Kimura,Japanese,40.728995,-73.988279,$$$,4.5,10003,"25,158","129,981","211,756"
Nyonya,Malaysian,40.719116974367,-73.9968322948353,$$,4.0,10013,"12,294","130,675","294,915"
Piccola Cucina Osteria,Italian,40.72506,-74.00322,$$,4.5,10012,"12,574","110,490","180,973"
Rule of Thirds,Japanese,40.7246328,-73.9551096,,4.0,0,,,
Ichibantei,Japanese,40.73063,-73.98275,$$,4.0,10009,"29,356","68,220","108,017"
Thai Villa,Thai,40.73902,-73.99065,$$,4.5,10003,"25,158","129,981","211,756"
Selo,Modern European,40.7613,-73.92335,,5.0,0,,,
Uncle Lou,Cantonese,40.71623,-73.99925,$$,4.0,10013,"12,294","130,675","294,915"
DOMODOMO - New York,Japanese,40.7280299,-74.00167,$$$,4.0,10012,"12,574","110,490","180,973"
Sunday in Brooklyn,American (New),40.71418124017512,-73.96532809508915,$$,4.0,11249,,,
Hole In The Wall,Australian,40.71444505961235,-73.9615832,$$,4.0,11249,,,
Fresh Salt,Bars,40.70707,-74.00244,$$,4.0,10038,"10,800","95,640","155,311"
The Binc,Cocktail Bars,40.69925,-73.99227,$$,4.5,11201,"29,262","139,697","198,854"
Jane Restaurant,Breakfast & Brunch,40.7273779,-74.00025,$$,4.0,10012,"12,574","110,490","180,973"
Westville Dumbo,American (New),40.70208865020039,-73.9894541379247,$$,4.0,11201,"29,262","139,697","198,854"
Bolivian Llama Party,Latin American,40.73936,-73.9207457005978,,5.0,0,,,
Butler,Coffee & Tea,40.7032670673495,-73.9922419276899,$$,4.0,11201,"29,262","139,697","198,854"
Lucky Rabbit Noodles,Tapas/Small Plates,40.70375,-73.98809,,4.5,0,,,
Ippudo NY,Ramen,40.73092,-73.99015,$$,4.0,10003,"25,158","129,981","211,756"
The Tyger,Cocktail Bars,40.71888,-73.99951,,4.0,0,,,
Mắm,Vietnamese,40.71704,-73.99338,,4.5,0,,,
Cafe Mogador,Moroccan,40.719747,-73.959993,$$,4.5,11211,"40,821","90,871","128,607"
Jack's Wife Freda,Mediterranean,40.71707,-73.96322,,4.0,0,,,
Salma,Lebanese,40.730369942268375,-73.9837222575225,$$,4.5,10003,"25,158","129,981","211,756"
The Leroy House,American (New),40.73063,-74.00661,$$$,4.5,10014,"17,139","136,154","217,624"
Wenwen,Taiwanese,40.73398,-73.95504,,4.0,0,,,
LumLum ,Thai,40.7629,-73.98991,$$,4.5,10019,"27,340","101,651","177,809"
La Contenta,Mexican,40.71873,-73.98691,$$,4.5,10002,"33,790","35,607","70,204"
Boutros,American (New),40.6901481293837,-73.9935445412993,$$$,4.5,11201,"29,262","139,697","198,854"
Taboonette,Mediterranean,40.7346038818359,-73.9928283691406,$$,4.5,10003,"25,158","129,981","211,756"
Bar Lula,Cocktail Bars,40.72743,-73.98521,,4.5,0,,,
Little Owl,Breakfast & Brunch,40.73240001181511,-74.00532068435112,$$,4.0,10014,"17,139","136,154","217,624"
KPOT Korean BBQ & Hot Pot,Hot Pot,40.69088,-73.98378,$$,4.5,11201,"29,262","139,697","198,854"
Din Soup Dumplings,Dim Sum,40.69425,-73.99277,$$,4.5,11201,"29,262","139,697","198,854"
Brooklyn Farm,Thai,40.69461303547711,-73.99426770000436,$$,4.0,11201,"29,262","139,697","198,854"
11 Tigers,Asian Fusion,40.72908,-73.97815,,4.5,0,,,
The River Café,American (New),40.70386671305111,-73.99479360219303,$$$$,4.0,11201,"29,262","139,697","198,854"
Buvette,French,40.732704,-74.00434640955953,$$,4.0,10014,"17,139","136,154","217,624"
BoCaphe,Vietnamese,40.722062,-73.997587,$$,4.0,10012,"12,574","110,490","180,973"
Ruby's Cafe,Australian,40.730932,-73.988061,$$,4.5,10003,"25,158","129,981","211,756"
DumboLuv,American (New),40.70327,-73.98676,,4.5,0,,,
Ampersand,Cocktail Bars,40.7386178790617,-73.9834206895483,$$,4.5,10010,"16,499","139,188","214,151"
Her Name Is Han,Korean,40.7462615966797,-73.984733581543,$$,4.5,10016,"29,005","124,647","181,643"
Balthazar,French,40.7226892950401,-73.9982149184027,$$$,4.0,10012,"12,574","110,490","180,973"
Shu Jiao Fu Zhou,Chinese,40.7174109,-73.9920876,$,4.5,10002,"33,790","35,607","70,204"
Frangos Peri Peri,Portuguese,40.727787,-73.979444,$$,4.5,10009,"29,356","68,220","108,017"
Las Santas,Mexican,40.6882,-73.97953,$$,4.5,11217,"18,627","122,598","182,618"
Evelina,Italian,40.689722,-73.971003,$$$,4.5,11205,"16,779","62,952","104,376"
The Four Horsemen,Wine Bars,40.71305,-73.95732,$$,4.5,11211,"40,821","90,871","128,607"
Sobak,Korean,40.71497047687499,-73.99158544320115,$$,5.0,10002,"33,790","35,607","70,204"
Pranakhon Thai Restaurant,Thai,40.733804,-73.993167,,5.0,0,,,
Jacob's Pickles Time Out Market,Comfort Food,40.70341672927573,-73.99160957243645,$$,4.5,11201,"29,262","139,697","198,854"
Miss Ada,Mediterranean,40.689436,-73.9723809,$$$,4.5,11205,"16,779","62,952","104,376"
Burger & Lobster - Flatiron NYC,Seafood,40.74007,-73.99344,$$,4.0,10011,"28,775","136,208","210,553"
Jack's Wife Freda,Mediterranean,40.729826,-74.003516,$$,4.0,10014,"17,139","136,154","217,624"
Win Son,Taiwanese,40.70747,-73.94339,$$,4.0,11206,"31,489","43,065","70,179"
Cremini's - Aperitivo & Kitchen,Italian,40.674968,-73.999242,,5.0,0,,,
Paesano of Mulberry Street,Italian,40.718554,-73.997447,$$,4.0,10013,"12,294","130,675","294,915"
Uluh,Tea Rooms,40.7293403,-73.9866071,$$$,4.5,10003,"25,158","129,981","211,756"
Nura,American (New),40.72467,-73.95371,,4.5,0,,,
La Grande Boucherie,French,40.7626274,-73.98084109999999,$$$,4.5,10019,"27,340","101,651","177,809"
White Oak Tavern,American (New),40.73036,-73.99462,$$,4.5,10003,"25,158","129,981","211,756"
L'Artusi,Italian,40.73372,-74.00513,$$$,4.5,10014,"17,139","136,154","217,624"
Seamore’s Dumbo,Seafood,40.7032,-73.99145,$$,3.5,11201,"29,262","139,697","198,854"
While We Were Young,American (New),40.73437,-74.00272,$$,4.0,10014,"17,139","136,154","217,624"
Salt + Charcoal,Japanese,40.71453,-73.9613511,$$,4.0,11249,,,
Rice Kitchen,Korean,40.725166,-74.003712,$$,5.0,10012,"12,574","110,490","180,973"
The Paris Cafe,Seafood,40.70732,-74.00159,$$,4.0,10038,"10,800","95,640","155,311"
Anytime Kitchen ,Korean,40.74776270790539,-73.9867793576711,$$,4.5,10001,,,
Noodle Pudding,Italian,40.69979,-73.99203,$$,4.0,11201,"29,262","139,697","198,854"
Leitao,Portuguese,40.73495,-74.00628,,4.5,0,,,
Luke's Lobster Brooklyn Bridge Park,Seafood,40.70359,-73.99411,$$,4.0,11201,"29,262","139,697","198,854"
Rangoon,Burmese,40.6757,-73.96002,,3.5,0,,,
Clover Hill,American (New),40.69316,-73.99871,,4.5,0,,,
Botte Brooklyn,Italian,40.69446,-73.98316,,4.5,0,,,
Usagi NY,Bookstores,40.70383,-73.98691,$$,4.5,11201,"29,262","139,697","198,854"
Mokyo,Korean,40.72714401116084,-73.98395721296154,,4.5,0,,,
Bread & Spread,Coffee & Tea,40.7025945,-73.9869119,$$,4.5,11201,"29,262","139,697","198,854"
Chef Huang Jian Bing & Peking Duck,Chinese,40.74531205210646,-73.9757772,,4.5,0,,,
Barn Joo,Korean,40.73684,-73.99069,$$,4.0,10003,"25,158","129,981","211,756"
Felice Montague,Wine Bars,40.69517,-73.9961,,4.0,0,,,
Shuka,Mediterranean,40.72707,-74.00283,$$$,4.5,10012,"12,574","110,490","180,973"
Noodle Village,Chinese,40.714167,-73.998803,$$,4.0,10013,"12,294","130,675","294,915"
Szechuan Mountain House,Szechuan,40.72911,-73.98858,$$,4.5,10003,"25,158","129,981","211,756"
Porcelain,Wine Bars,40.702315,-73.901679,,4.5,0,,,
David Burke TImeout Market,American (New),40.7034191,-73.992147,,4.5,0,,,
Nowon,Korean,40.72532,-73.98334,$$$,4.5,10009,"29,356","68,220","108,017"
Lillo Cucina Italiana,Cafes,40.69023,-73.99634,$$,5.0,11201,"29,262","139,697","198,854"
The Reading Room,American (New),40.7555,-73.97802,,5.0,0,,,
La Pecora Bianca,Italian,40.74358,-73.9892,$$,4.0,10010,"16,499","139,188","214,151"
Mad for Chicken Brooklyn Heights,Chicken Wings,40.69519905751762,-73.99625069999999,,5.0,0,,,
The Wild Son Lunch Counter,American (New),40.72737,-73.98525,$$,4.5,10009,"29,356","68,220","108,017"
Blue Willow 夜来湘,Szechuan,40.76292,-73.976546,,4.5,0,,,
Mercado Little Spain,Spanish,40.752435,-74.001475,$$,3.5,10001,,,
The Frenchman's Dough,Italian,40.706116183284095,-74.00233246386051,,5.0,0,,,
Shanghai 21,Shanghainese,40.71441,-73.99902,$$,4.0,10013,"12,294","130,675","294,915"
Freemans,Breakfast & Brunch,40.721988,-73.992466,$$,4.0,10002,"33,790","35,607","70,204"
Chow House,Szechuan,40.72915,-74.00072,$$,4.5,10012,"12,574","110,490","180,973"
CHILI,Szechuan,40.75002,-73.98215,$$,4.5,10016,"29,005","124,647","181,643"
Jiang Nan,Shanghainese,40.7175581,-73.99498,,4.5,0,,,
Sweet Chick,Southern,40.7217399,-73.98739,$$,4.0,10002,"33,790","35,607","70,204"
Don Angie,Italian,40.73778,-74.00197,$$$,4.5,10014,"17,139","136,154","217,624"
Tradisyon,Filipino,40.76491,-73.987537,$$,4.5,10019,"27,340","101,651","177,809"
Java Indonesian Restaurant,Indonesian,40.662645,-73.9847769,$$,4.0,11215,"28,714","144,330","197,323"
Gelso & Grand,Italian,40.71958,-73.99734,$$,4.5,10013,"12,294","130,675","294,915"
Misi,Italian,40.71341,-73.96662,$$$,4.0,11249,,,
Shan,Cocktail Bars,40.68524,-73.99133,,4.5,0,,,
Taste of Heaven,Soul Food,40.717115,-73.940613,$$,5.0,11211,"40,821","90,871","128,607"
Eleni's,Greek,40.736601,-73.985085,,4.5,0,,,
Seaport House,Seafood,40.707503,-74.001945,$$,4.0,10038,"10,800","95,640","155,311"
Madame Vo,Vietnamese,40.72925,-73.98612,$$,4.0,10003,"25,158","129,981","211,756"
Osteria Del Porto,Italian,40.70737443140159,-74.00270427364536,$$$,4.5,10038,"10,800","95,640","155,311"
La Pecora Bianca,Italian,40.73959,-74.00775,,4.5,0,,,
Cafe Gitane,Moroccan,40.7028272982236,-73.9812811999999,,4.0,0,,,
Otway,American (New),40.68274,-73.96388,$$$,4.0,11238,"25,443","100,568","136,836"
Walter's,American (New),40.6894111633301,-73.973258972168,$$,4.0,11217,"18,627","122,598","182,618"
Koloman,French,40.74569968921106,-73.9880941,,5.0,0,,,
Pomp & Circumstance Dining,Italian,40.714166,-73.949612,$$,5.0,11211,"40,821","90,871","128,607"
Berimbau Brazilian Kitchen,Brazilian,40.73007,-74.00366,$$,4.5,10014,"17,139","136,154","217,624"
Eyval,Persian/Iranian,40.70413,-73.93309,,4.0,0,,,
Kopitiam,Malaysian,40.71387,-73.99091,$$,4.0,10002,"33,790","35,607","70,204"
Sweetwater Restaurant,American (New),40.7184736,-73.9600178,$$,4.0,11249,,,
Wild Ink,Asian Fusion,40.753754,-74.001388,$$$,4.0,10001,,,
Soba Mama,Japanese,40.73024678277589,-73.9940323,,4.5,0,,,
Thai Diner,Thai,40.72071042964739,-73.9956057,$$,4.0,10012,"12,574","110,490","180,973"
Ajisai on Duane,Japanese,40.71751,-74.01021,,5.0,0,,,
Dante,Cocktail Bars,40.72879,-74.00165,$$,4.0,10012,"12,574","110,490","180,973"
Zanmi,Haitian,40.6579395,-73.9505773,$$,4.5,11225,"24,177","65,200","91,135"
Naked Dog,Italian,40.7312720665479,-73.9593493647979,$$,4.5,11222,"17,941","96,435","122,507"
Red Feather,Asian Fusion,40.72975,-73.99893,$$$,5.0,10012,"12,574","110,490","180,973"
The Hideaway Seaport,Bars,40.7080634,-74.002083,$$,4.0,10038,"10,800","95,640","155,311"
Grimaldi's Pizzeria,Pizza,40.7026459,-73.9932413,$$,3.5,11201,"29,262","139,697","198,854"
Nami Nori,Sushi Bars,40.730284,-74.003212,$$$,4.0,10014,"17,139","136,154","217,624"
Dashi Okume,Japanese,40.724689465644175,-73.9536510868506,,4.0,0,,,
TAGMO,Indian,40.70762,-74.00214,$$,4.5,10038,"10,800","95,640","155,311"
Fan Fried Rice Bar,Taiwanese,40.71267,-73.96082,,4.5,0,,,
Potluck Club,Chinese,40.71952,-73.99333,,4.5,0,,,
Dinner Party,American (New),40.68692,-73.97469,,5.0,0,,,
Oxomoco,Mexican,40.7299099,-73.95548,$$$,4.0,11222,"17,941","96,435","122,507"
Saigon Shack,Vietnamese,40.72969,-74.000629,$$,4.0,10012,"12,574","110,490","180,973"
Kimika,Italian,40.720572,-73.995206,$$$,4.0,10012,"12,574","110,490","180,973"
La Sirène-Soho,French,40.7243642217227,-74.005708694458,$$$,4.5,10013,"12,294","130,675","294,915"
Watermark,Lounges,40.7043789539783,-74.0029934983643,$$,3.5,10038,"10,800","95,640","155,311"
Al Badawi,Middle Eastern,40.69059,-73.99503,$$,4.5,11201,"29,262","139,697","198,854"
Temakase,Sushi Bars,40.729711,-73.987127,,4.5,0,,,
Mission Ceviche,Peruvian,40.7692325,-73.9578759,$$$,4.5,10021,"22,084","130,968","237,726"
Mission Ceviche,Peruvian,40.7692325,-73.9578759,$$$,4.5,10021,"22,084","130,968","237,726"
The Hull,Sports Bars,40.7032842374726,-73.99133599999999,,5.0,0,,,
Francie,American (New),40.71002578663716,-73.96405744314846,$$$$,4.5,11249,,,
Zaytinya - New York,Tapas/Small Plates,40.74549437933232,-73.9889085,,4.0,0,,,
The Smith,American (New),40.755165,-73.967868,$$,4.0,10022,,,
Forsythia,Italian,40.7225353,-73.992492,$$$$,4.5,10002,"33,790","35,607","70,204"
Sam Sunny,Korean,40.74156,-73.97846,,5.0,0,,,
Shukette,Middle Eastern,40.74745,-74.00041,,4.5,0,,,
Bacall's,American (New),40.7576,-73.98693,$$$,4.0,10036,"17,437","97,720","139,050"
Tito Papas,Filipino,40.71739992771893,-73.9493112,,5.0,0,,,
Trapizzino,Italian,40.72043,-73.98894,$$,4.5,10002,"33,790","35,607","70,204"
Barbalu Restaurant,Italian,40.7074747,-74.0020404,$$,4.0,10038,"10,800","95,640","155,311"
Brooklyn BBQ,Barbeque,40.697978,-73.991777,$$,5.0,11201,"29,262","139,697","198,854"
Namkeen,Chicken Shop,40.71285,-73.96248,$$,4.0,11249,,,
Dawn's ‘Til Dusk,Coffee & Tea,40.70336875110399,-73.99042176876897,,5.0,0,,,
Ipanema Restaurant,Brazilian,40.75005,-73.98416,$$,4.0,10018,"4,321","136,360","187,702"
Chef Katsu Brooklyn,Pop-Up Restaurants,40.686813,-73.966352,$$,4.5,11238,"25,443","100,568","136,836"
Omusubi Gonbei,Japanese,40.750701,-73.976961,$,4.5,10017,"9,858","130,417","184,005"
Lindens,American (New),40.72418,-74.00837,,5.0,0,,,
A-Pou's Taste,Taiwanese,40.71326,-73.93616,$,4.5,11211,"40,821","90,871","128,607"
Sun Hing Lung Co,Chinese,40.7127362,-73.9950764600962,$,4.5,10002,"33,790","35,607","70,204"
Excuse My French,Bars,40.718437,-73.989807,$$,4.0,10002,"33,790","35,607","70,204"
Tonchin,Ramen,40.71676616063315,-73.9616957,,4.5,0,,,
Hakata Tonton,Japanese,40.749981,-73.985719,,4.5,0,,,
MayRee,Thai,40.72374,-73.9893,,5.0,0,,,
Olea,Tapas Bars,40.6877844,-73.9706046,$$,4.0,11238,"25,443","100,568","136,836"
Laser Wolf,Middle Eastern,40.72098218304858,-73.95860654260929,$$$,4.5,11249,,,
Despaña Fine Foods & Tapas Cafe,Spanish,40.721094,-73.9978255,$$,4.5,10013,"12,294","130,675","294,915"
El Pingüino,Spanish,40.7298,-73.95978,,5.0,0,,,
Ai Ki Ya,Ramen,40.74873,-73.98705,,4.0,0,,,
Bacàn,Italian,40.715855693840986,-73.96414879999999,,4.0,0,,,
Okiboru House of Tsukemen,Ramen,40.71934,-73.98971,$$,4.5,10002,"33,790","35,607","70,204"
Sofreh,Persian/Iranian,40.6798617,-73.973984,$$$,4.0,11217,"18,627","122,598","182,618"
PALPAL,Korean,40.74568,-73.98466,,4.0,0,,,
Monsieur Vo,Vietnamese,40.72741,-73.98816,,4.5,0,,,
Di An Di,Vietnamese,40.72969,-73.95827,$$,4.0,11222,"17,941","96,435","122,507"
